"subject","trial","phase","condition","look","outcome"
15,5,"acquisition","cs_minus_ns",1,"reward"
15,6,"acquisition","cs_minus_s",1,"reward"
15,7,"acquisition","cs_plus_ns",1,"shock"
15,8,"acquisition","cs_minus_ns",1,"reward"
15,9,"acquisition","cs_plus_s",1,"shock"
15,10,"acquisition","cs_plus_s",1,"shock"
15,11,"acquisition","cs_minus_ns",1,"reward"
15,12,"acquisition","cs_minus_s",1,"reward"
15,13,"acquisition","cs_plus_ns",1,"shock"
15,14,"acquisition","cs_minus_ns",0,NA
15,15,"acquisition","cs_plus_ns",1,"shock"
15,16,"acquisition","cs_plus_ns",1,"shock"
15,17,"acquisition","cs_plus_s",1,"shock"
15,18,"acquisition","cs_minus_s",1,"reward"
15,19,"acquisition","cs_plus_ns",0,NA
15,20,"acquisition","cs_plus_ns",0,NA
15,21,"acquisition","cs_minus_ns",0,NA
15,22,"acquisition","cs_plus_ns",0,NA
15,23,"acquisition","cs_plus_s",1,"shock"
15,24,"acquisition","cs_plus_ns",0,NA
15,25,"acquisition","cs_minus_s",1,"reward"
15,26,"acquisition","cs_minus_ns",0,NA
15,27,"acquisition","cs_minus_s",1,"reward"
15,28,"acquisition","cs_minus_ns",0,NA
15,29,"acquisition","cs_plus_s",1,"shock"
15,30,"acquisition","cs_minus_s",1,"reward"
15,31,"acquisition","cs_plus_s",0,NA
15,32,"acquisition","cs_minus_ns",0,NA
15,33,"acquisition","cs_plus_s",0,NA
15,34,"acquisition","cs_minus_ns",1,"reward"
15,35,"acquisition","cs_minus_ns",1,"reward"
15,36,"acquisition","cs_minus_s",1,"reward"
15,37,"acquisition","cs_minus_s",1,"reward"
15,38,"acquisition","cs_plus_ns",1,"shock"
15,39,"acquisition","cs_minus_ns",1,"reward"
15,40,"acquisition","cs_minus_ns",1,"reward"
15,41,"acquisition","cs_plus_s",1,"shock"
15,42,"acquisition","cs_plus_s",0,NA
15,43,"acquisition","cs_minus_s",1,"reward"
15,44,"acquisition","cs_minus_s",1,"reward"
15,45,"acquisition","cs_plus_s",1,"shock"
15,46,"acquisition","cs_plus_ns",1,"shock"
15,47,"acquisition","cs_plus_ns",1,"shock"
15,48,"acquisition","cs_plus_ns",1,"shock"
15,49,"acquisition","cs_minus_s",1,"reward"
15,50,"acquisition","cs_minus_ns",1,"reward"
15,51,"acquisition","cs_minus_ns",1,"reward"
15,52,"acquisition","cs_plus_s",1,"shock"
15,53,"acquisition","cs_plus_ns",1,"shock"
15,54,"acquisition","cs_plus_ns",1,"shock"
15,55,"acquisition","cs_plus_s",0,NA
15,56,"acquisition","cs_plus_ns",1,"shock"
15,57,"acquisition","cs_minus_s",1,"reward"
15,58,"acquisition","cs_minus_ns",0,NA
15,59,"acquisition","cs_plus_ns",1,"shock"
15,60,"acquisition","cs_minus_s",1,"reward"
15,61,"acquisition","cs_plus_s",1,"shock"
